Y_est,Y_est_moe,Y_uni,Y_uni_moe,NAME,state,county,tract,S0101_C01_001E_x,OA_est,OA_est_moe,S0101_C01_001M_x,S0101_C01_001E_y,F_est,F_est_moe,S0101_C01_001M_y,RM_uni_moe,RM_est_moe,RM_uni,RM_est,EM_est,EM_uni_moe,EM_uni,EM_est_moe,FB_est_moe,FB_uni,FB_uni_moe,FB_est,LEP_uni_moe,LEP_est_moe,LEP_est,LEP_uni,D_est_moe,D_est,D_uni_moe,D_uni,LI_est_moe,LI_est,LI_uni_moe,LI_uni,NC_uni,NC_uni_moe,NC_est,NC_est_moe,GEOID,OA_uni,F_uni,OA_uni_moe,F_uni_moe,RM_est_moe_approx,Y_pct,Y_pct_moe,OA_pct,OA_pct_moe,F_pct,F_pct_moe,RM_pct,RM_pct_moe,EM_pct,EM_pct_moe,FB_pct,FB_pct_moe,LEP_pct,LEP_pct_moe,D_pct,D_pct_moe,LI_pct,LI_pct_moe,NC_pct,NC_pct_moe,IPD_SCORE,Y_score,Y_class,OA_score,OA_class,F_score,F_class,RM_score,RM_class,EM_score,EM_class,FB_score,FB_class,LEP_score,LEP_class,D_score,D_class,LI_score,LI_class,NC_score,NC_class,IPD_SCORE_score,IPD_SCORE_class,indicators_mean,indicators_std,IPD_CONFIDENCE
115,43,1181,205,Census Tract 1.01; District of Columbia; District of Columbia,11,001,000101,1181,373,115,205,1181,678,166,205,205,194,1181,293,90,205,1181,89,77,1181,205,161,187,40,33,1083,28,30,205,1181,48,73,205,1181,803,128,311,115,11001000101,1181,1181,205,205,282.24280327406046,9.7,3.2,31.6,8.0,57.4,9.9,24.8,15.9,7.6,7.4,13.6,6.1,3.0,3.7,2.5,2.3,6.2,3.9,38.7,12.9,19,1,Below Average,4,Well Above Average,3,Above Average,1,Below Average,2,Average,2,Average,2,Average,1,Below Average,1,Below Average,2,Average,2,Average,1.9,0.9944289260117531,Medium
849,350,3238,671,Census Tract 22.01; District of Columbia; District of Columbia,11,001,002201,3238,400,83,671,3238,1416,332,671,671,256,3238,1685,901,671,3238,589,436,3238,671,754,617,289,438,2979,72,203,672,3225,142,194,571,3065,986,109,100,54,11001002201,3238,3238,671,671,718.1761622331948,26.2,9.3,12.4,0.1,43.7,4.8,52.0,13.4,27.8,17.3,23.3,12.6,14.7,9.2,6.3,1.8,6.3,4.5,10.1,5.4,22,3,Above Average,2,Average,1,Below Average,2,Average,4,Well Above Average,3,Above Average,4,Well Above Average,1,Below Average,1,Below Average,1,Below Average,3,Above Average,2.2,1.2292725943057183,Medium
930,445,3228,748,Census Tract 22.02; District of Columbia; District of Columbia,11,001,002202,3228,391,125,748,3228,1830,540,748,748,352,3228,2315,544,748,3228,382,325,3228,748,584,599,186,248,2821,185,515,748,3228,616,792,748,3228,1267,227,268,156,11001002202,3228,3228,748,748,826.6849460344612,28.8,12.1,12.1,2.7,56.7,10.4,71.7,19.9,16.9,11.2,18.1,9.2,8.8,6.3,16.0,4.4,24.5,18.2,21.2,11.7,25,3,Above Average,2,Average,3,Above Average,2,Average,3,Above Average,3,Above Average,3,Above Average,3,Above Average,2,Average,1,Below Average,3,Above Average,2.5,0.7071067811865476,High
765,221,3170,497,Census Tract 23.01; District of Columbia; District of Columbia,11,001,002301,3170,305,116,497,3170,1756,325,497,497,202,3170,2368,600,497,3170,242,254,3170,497,621,475,121,235,2840,117,236,497,3170,303,681,497,3170,1202,191,92,58,11001002301,3170,3170,497,497,536.4820593458834,24.1,5.9,9.6,3.3,55.4,5.4,74.7,13.3,18.9,7.0,19.6,7.4,8.3,4.0,7.4,3.5,21.5,8.9,7.7,4.7,22,3,Above Average,2,Average,2,Average,3,Above Average,3,Above Average,3,Above Average,3,Above Average,1,Below Average,2,Average,0,Well Below Average,3,Above Average,2.2,1.0327955589886444,High
218,24,1538,182,Census Tract 23.02; District of Columbia; District of Columbia,11,001,002302,1538,582,192,182,1538,487,155,182,182,188,1538,1021,88,182,1538,107,61,1538,182,171,191,29,15,1508,135,270,180,1381,86,155,180,1381,837,174,433,170,11001002302,1538,1538,182,182,261.66390656718403,14.2,2.3,37.8,11.7,31.7,9.4,66.4,9.4,5.7,6.9,11.1,3.7,1.0,1.9,19.6,9.4,11.2,6.1,51.7,17.2,19,2,Average,4,Well Above Average,0,Well Below Average,2,Average,1,Below Average,2,Average,1,Below Average,3,Above Average,1,Below Average,3,Above Average,2,Average,1.9,1.1972189997378648,Medium
547,129,3735,448,Census Tract 24; District of Columbia; District of Columbia,11,001,002400,3735,475,127,448,3735,1805,223,448,448,362,3735,2165,903,448,3735,443,363,3735,448,809,443,367,485,3544,115,270,446,3701,321,620,448,3712,1510,164,196,99,11001002400,3735,3735,448,448,575.9756939316103,14.6,3.0,12.7,3.0,48.3,1.4,58.0,6.8,24.2,11.5,21.7,9.4,13.7,10.2,7.3,3.0,16.7,8.4,13.0,6.4,22,2,Average,2,Average,2,Average,2,Average,4,Well Above Average,3,Above Average,3,Above Average,1,Below Average,2,Average,1,Below Average,3,Above Average,2.2,0.9189365834726815,High
696,284,2860,795,Census Tract 25.01; District of Columbia; District of Columbia,11,001,002501,2860,249,54,795,2860,1303,389,795,795,391,2860,1811,484,795,2860,529,466,2860,795,651,620,413,334,2602,59,138,796,2848,123,177,795,2857,1060,269,156,69,11001002501,2860,2860,795,795,885.9492084764228,24.3,7.3,8.7,3.1,45.6,5.0,63.3,22.3,16.9,17.9,22.8,15.0,12.8,15.6,4.8,1.6,6.2,3.9,14.7,5.3,19,3,Above Average,1,Below Average,1,Below Average,2,Average,3,Above Average,3,Above Average,3,Above Average,1,Below Average,1,Below Average,1,Below Average,2,Average,1.9,0.9944289260117533,Medium
259,149,2909,585,Census Tract 25.03; District of Columbia; District of Columbia,11,001,002503,2909,211,64,585,2909,1330,246,585,585,240,2909,1938,554,585,2909,234,257,2909,585,574,588,86,117,2753,104,231,585,2909,94,242,585,2909,1705,549,852,556,11001002503,2909,2909,585,585,632.3171672507398,8.9,4.8,7.3,1.6,45.7,12.5,66.6,15.7,19.0,7.1,19.7,7.9,4.2,3.0,7.9,3.2,8.3,2.8,50.0,28.4,19,1,Below Average,1,Below Average,1,Below Average,2,Average,3,Above Average,3,Above Average,2,Average,2,Average,1,Below Average,3,Above Average,2,Average,1.9,0.8755950357709131,High
521,249,3132,535,Census Tract 25.04; District of Columbia; District of Columbia,11,001,002504,3132,420,133,535,3132,1327,333,535,535,414,3132,1999,1030,535,3132,446,245,3132,535,670,534,250,485,2973,314,395,538,3126,384,705,538,3117,1475,301,342,120,11001002504,3132,3132,535,535,676.4769027838275,16.6,7.4,13.4,3.6,42.4,7.8,63.8,7.5,32.9,13.1,21.4,6.9,16.3,7.9,12.6,9.8,22.6,11.7,23.2,6.6,23,2,Average,2,Average,1,Below Average,2,Average,4,Well Above Average,3,Above Average,4,Well Above Average,2,Average,2,Average,1,Below Average,3,Above Average,2.3,1.0593499054713802,High
682,129,2578,430,Census Tract 26; District of Columbia; District of Columbia,11,001,002600,2578,542,117,430,2578,1317,241,430,430,112,2578,1672,383,430,2578,306,220,2578,430,445,398,214,276,2324,130,265,430,2578,122,181,430,2576,895,85,157,63,11001002600,2578,2578,430,430,444.34671147652256,26.5,2.4,21.0,2.9,51.1,3.8,64.9,11.7,14.9,11.6,17.3,8.0,11.9,9.0,10.3,4.7,7.0,4.6,17.5,6.8,21,3,Above Average,3,Above Average,2,Average,2,Average,2,Average,2,Average,3,Above Average,2,Average,1,Below Average,1,Below Average,2,Average,2.1,0.7378647873726218,High
1238,248,5578,711,Census Tract 27.02; District of Columbia; District of Columbia,11,001,002702,5578,604,152,711,5578,2721,467,711,711,649,5578,2253,1271,711,5578,507,318,5578,711,1095,670,293,626,5082,169,435,711,5578,271,618,676,5478,2397,186,744,197,11001002702,5578,5578,711,711,962.6640120000332,22.2,3.4,10.8,2.3,48.8,5.6,40.4,10.4,22.8,8.6,19.6,5.1,12.3,5.5,7.8,2.9,11.3,4.7,31.0,7.9,21,2,Average,2,Average,2,Average,1,Below Average,3,Above Average,3,Above Average,3,Above Average,2,Average,1,Below Average,2,Average,2,Average,2.1,0.7378647873726218,High
292,117,2312,379,Census Tract 27.03; District of Columbia; District of Columbia,11,001,002703,2312,317,79,379,2312,1099,222,379,379,294,2312,1121,380,379,2312,243,186,2312,379,539,330,141,208,2223,97,219,379,2192,93,162,379,2192,1109,125,405,107,11001002703,2312,2312,379,379,479.66342366288467,12.6,4.6,13.7,2.6,47.5,5.6,48.5,9.9,16.4,10.2,23.3,7.1,9.4,6.2,10.0,4.1,7.4,4.0,36.5,8.7,21,2,Average,2,Average,1,Below Average,2,Average,3,Above Average,3,Above Average,3,Above Average,2,Average,1,Below Average,2,Average,2,Average,2.1,0.7378647873726218,High
427,147,2971,608,Census Tract 27.04; District of Columbia; District of Columbia,11,001,002704,2971,103,92,608,2971,1271,342,608,608,444,2971,1502,912,608,2971,318,349,2971,608,890,601,196,393,2874,150,268,608,2971,175,357,608,2971,1625,340,769,265,11001002704,2971,2971,608,608,752.8612089887484,14.4,4.0,3.5,3.0,42.8,7.5,50.6,10.8,30.7,8.7,30.0,10.0,13.7,6.2,9.0,4.7,12.0,5.4,47.3,13.0,23,2,Average,1,Below Average,1,Below Average,2,Average,4,Well Above Average,4,Well Above Average,3,Above Average,2,Average,1,Below Average,3,Above Average,3,Above Average,2.3,1.1595018087284057,Medium
899,332,3877,559,Census Tract 28.01; District of Columbia; District of Columbia,11,001,002801,3877,214,81,559,3877,1980,340,559,559,429,3877,2453,1341,559,3877,608,331,3877,559,1048,485,409,673,3399,107,198,563,3858,479,1057,559,3877,1826,230,877,247,11001002801,3877,3877,559,559,704.6431721091179,23.2,7.9,5.5,1.9,51.1,4.8,63.3,6.3,34.6,14.9,27.0,7.6,19.8,11.7,5.1,2.7,27.3,11.7,48.0,12.1,26,3,Above Average,1,Below Average,2,Average,2,Average,4,Well Above Average,4,Well Above Average,4,Well Above Average,1,Below Average,2,Average,3,Above Average,4,Well Above Average,2.6,1.1737877907772674,High
1128,307,4951,487,Census Tract 28.02; District of Columbia; District of Columbia,11,001,002802,4951,522,222,487,4951,2893,424,487,487,816,4951,3040,2280,487,4951,411,616,4951,487,1758,577,468,902,4481,258,650,500,4924,658,2119,487,4945,2705,284,1790,347,11001002802,4951,4951,487,487,950.2762756167282,22.8,5.8,10.5,4.4,58.4,6.3,61.4,15.3,46.1,7.0,35.5,11.9,20.1,10.1,13.2,5.1,42.9,12.6,66.2,10.8,31,3,Above Average,2,Average,3,Above Average,2,Average,4,Well Above Average,4,Well Above Average,4,Well Above Average,2,Average,3,Above Average,4,Well Above Average,4,Well Above Average,3.1,0.875595035770913,High
1136,627,4608,852,Census Tract 29; District of Columbia; District of Columbia,11,001,002900,4608,398,260,852,4608,2160,442,852,852,357,4608,2813,1152,852,4608,328,158,4608,852,686,614,293,553,4129,341,540,827,4558,642,1122,852,4597,1687,199,529,148,11001002900,4608,4608,852,852,923.7710755376572,24.7,12.8,8.6,5.4,46.9,4.1,61.0,13.7,25.0,5.4,14.9,2.0,13.4,6.8,11.8,7.2,24.4,13.2,31.4,8.0,22,3,Above Average,1,Below Average,1,Below Average,2,Average,4,Well Above Average,2,Average,3,Above Average,2,Average,2,Average,2,Average,3,Above Average,2.2,0.9189365834726815,High
666,146,3535,483,Census Tract 30; District of Columbia; District of Columbia,11,001,003000,3535,230,66,483,3535,1774,372,483,483,233,3535,2422,779,483,3535,331,316,3535,483,728,468,308,501,3259,164,354,483,3535,407,1110,481,3524,1622,234,830,251,11001003000,3535,3535,483,483,536.2629951805364,18.8,3.2,6.5,1.6,50.2,8.0,68.5,11.4,22.0,8.9,20.6,8.5,15.4,9.2,10.0,4.4,31.5,10.7,51.2,13.6,24,2,Average,1,Below Average,2,Average,2,Average,3,Above Average,3,Above Average,4,Well Above Average,2,Average,2,Average,3,Above Average,3,Above Average,2.4,0.8432740427115679,High
458,230,3529,448,Census Tract 31; District of Columbia; District of Columbia,11,001,003100,3529,212,99,448,3529,1964,308,448,448,393,3529,1648,860,448,3529,312,209,3529,448,703,408,118,300,3297,130,283,448,3522,222,424,438,3476,1917,257,685,218,11001003100,3529,3529,448,448,595.947145307367,13.0,6.3,6.0,2.7,55.7,5.1,46.7,9.4,24.4,8.3,19.9,5.4,9.1,3.4,8.0,3.5,12.2,6.2,35.7,10.3,22,2,Average,1,Below Average,2,Average,2,Average,4,Well Above Average,3,Above Average,3,Above Average,2,Average,1,Below Average,2,Average,3,Above Average,2.2,0.9189365834726815,High
978,683,4132,1012,Census Tract 32; District of Columbia; District of Columbia,11,001,003200,4132,396,198,1012,4132,2093,543,1012,1012,483,4132,2361,891,1012,4132,486,443,4132,1012,895,982,436,541,3802,228,352,1012,4124,968,1323,1012,4124,1652,251,528,199,11001003200,4132,4132,1012,1012,1121.3532003788994,23.7,15.5,9.6,4.2,50.7,4.3,57.1,18.2,21.6,10.5,21.7,9.3,14.2,10.9,8.5,5.1,32.1,22.1,32.0,11.0,25,3,Above Average,2,Average,2,Average,2,Average,3,Above Average,3,Above Average,4,Well Above Average,2,Average,2,Average,2,Average,3,Above Average,2.5,0.7071067811865476,High
284,114,3525,502,Census Tract 33.01; District of Columbia; District of Columbia,11,001,003301,3525,227,56,502,3525,1546,300,502,502,346,3525,1641,250,502,3525,126,181,3525,502,545,482,17,8,3310,128,230,501,3513,132,302,502,3525,1762,307,237,95,11001003301,3525,3525,502,502,609.6884450274582,8.1,3.0,6.4,1.3,43.9,5.8,46.6,7.2,7.1,3.4,15.5,4.6,0.2,0.5,6.5,3.5,8.6,3.5,13.5,4.9,13,1,Below Average,1,Below Average,1,Below Average,2,Average,2,Average,2,Average,1,Below Average,1,Below Average,1,Below Average,1,Below Average,0,Well Below Average,1.3,0.48304589153964794,High
341,253,2236,371,Census Tract 33.02; District of Columbia; District of Columbia,11,001,003302,2236,144,36,371,2236,1153,361,371,371,165,2236,1169,104,371,2236,60,121,2236,371,220,230,46,34,2060,52,132,379,2206,92,242,372,2224,1002,90,201,82,11001003302,2236,2236,371,371,406.0369441319349,15.3,11.0,6.4,1.2,51.6,13.7,52.3,11.4,4.7,2.6,9.8,5.2,1.7,2.2,6.0,2.1,10.9,3.7,20.1,8.0,14,2,Average,1,Below Average,2,Average,2,Average,1,Below Average,2,Average,1,Below Average,1,Below Average,1,Below Average,1,Below Average,1,Below Average,1.4,0.5163977794943223,High
254,89,4044,518,Census Tract 34; District of Columbia; District of Columbia,11,001,003400,4044,230,96,518,4044,2528,501,518,518,284,4044,2850,429,518,4044,247,145,4044,518,454,511,55,57,3987,173,480,518,4044,310,715,505,2381,1222,193,642,180,11001003400,4044,4044,518,518,590.7452919829324,6.3,2.0,5.7,2.3,62.5,9.5,70.5,11.4,10.6,6.0,11.2,3.3,1.4,1.4,11.9,4.0,30.0,11.4,52.5,12.2,19,1,Below Average,1,Below Average,3,Above Average,2,Average,2,Average,2,Average,1,Below Average,2,Average,2,Average,3,Above Average,2,Average,1.9,0.737864787372622,High
175,140,4498,451,Census Tract 35; District of Columbia; District of Columbia,11,001,003500,4498,136,69,451,4498,2201,282,451,451,353,4498,2872,293,451,4498,122,140,4498,451,465,441,69,72,4429,123,289,451,4498,326,665,444,3164,1907,230,785,203,11001003500,4498,4498,451,451,572.7215728432097,3.9,3.1,3.0,1.5,48.9,3.9,63.9,4.5,6.5,2.6,10.3,2.9,1.6,1.5,6.4,2.7,21.0,9.9,41.2,9.4,15,1,Below Average,1,Below Average,2,Average,2,Average,1,Below Average,2,Average,1,Below Average,1,Below Average,2,Average,2,Average,1,Below Average,1.5,0.5270462766947299,High
446,120,4500,629,Census Tract 36; District of Columbia; District of Columbia,11,001,003600,4500,364,169,629,4500,2257,426,629,629,492,4500,1963,479,629,4500,222,234,4500,629,578,628,118,142,4438,163,438,628,4474,248,1010,628,4491,2248,178,1056,234,11001003600,4500,4500,629,629,798.5643367944751,9.9,2.3,8.1,3.6,50.2,6.4,43.6,9.1,10.6,4.7,12.8,4.9,3.2,2.6,9.8,3.4,22.5,4.5,47.0,9.7,18,1,Below Average,1,Below Average,2,Average,1,Below Average,2,Average,2,Average,2,Average,2,Average,2,Average,3,Above Average,2,Average,1.8,0.6324555320336759,High
246,115,2195,229,Census Tract 37.01; District of Columbia; District of Columbia,11,001,003701,2195,219,100,229,2195,1175,149,229,229,161,2195,1110,739,229,2195,211,156,2195,229,652,229,128,378,2135,75,132,229,2195,146,215,229,2195,1335,88,487,146,11001003701,2195,2195,229,229,279.93213463266414,11.2,5.1,10.0,4.4,53.5,3.9,50.6,5.1,33.7,8.9,29.7,6.4,17.7,5.7,6.0,3.4,9.8,6.6,36.5,10.7,23,1,Below Average,2,Average,2,Average,2,Average,4,Well Above Average,4,Well Above Average,4,Well Above Average,1,Below Average,1,Below Average,2,Average,3,Above Average,2.3,1.2516655570345725,Medium
483,398,2815,796,Census Tract 37.02; District of Columbia; District of Columbia,11,001,003702,2815,127,47,796,2815,1702,765,796,796,271,2815,1387,319,796,2815,187,430,2815,796,589,461,70,101,2436,79,118,796,2803,816,1298,796,2815,1514,267,715,183,11001003702,2815,2815,796,796,840.866814662108,17.2,13.3,4.5,1.1,60.5,21.1,49.3,16.9,11.3,5.8,20.9,14.1,4.1,2.8,4.2,2.6,46.1,25.9,47.2,8.8,22,2,Average,1,Below Average,3,Above Average,2,Average,2,Average,3,Above Average,2,Average,1,Below Average,3,Above Average,3,Above Average,3,Above Average,2.2,0.7888106377466155,High
72,6,1514,201,Census Tract 38.01; District of Columbia; District of Columbia,11,001,003801,1514,117,64,201,1514,866,155,201,201,202,1514,269,139,201,1514,81,78,1514,201,180,202,29,28,1461,47,44,201,1514,71,80,201,1514,997,156,346,125,11001003801,1514,1514,201,201,284.96491012052695,4.8,0.7,7.7,4.1,57.2,6.9,17.8,13.1,9.2,5.2,11.9,4.9,1.9,2.0,2.9,3.1,5.3,4.6,34.7,11.3,15,1,Below Average,1,Below Average,3,Above Average,1,Below Average,2,Average,2,Average,1,Below Average,1,Below Average,1,Below Average,2,Average,1,Below Average,1.5,0.7071067811865476,High
223,97,3607,510,Census Tract 38.02; District of Columbia; District of Columbia,11,001,003802,3607,281,175,510,3607,1604,298,510,510,350,3607,1619,674,510,3607,390,347,3607,510,888,494,74,77,3500,194,316,510,3607,182,551,510,3607,2105,234,1046,222,11001003802,3607,3607,510,510,618.5466837676846,6.2,2.5,7.8,4.7,44.5,5.4,44.9,7.3,18.7,10.5,24.6,9.0,2.2,2.1,8.8,5.2,15.3,4.6,49.7,9.0,18,1,Below Average,1,Below Average,1,Below Average,1,Below Average,3,Above Average,3,Above Average,2,Average,2,Average,1,Below Average,3,Above Average,2,Average,1.8,0.9189365834726815,Medium
339,133,2729,568,Census Tract 39.01; District of Columbia; District of Columbia,11,001,003901,2729,227,118,568,2729,1612,525,568,568,220,2729,1311,586,568,2729,267,126,2729,568,334,559,60,39,2423,66,126,568,2729,90,213,568,2729,1724,517,636,159,11001003901,2729,2729,568,568,609.1173942681329,12.4,4.1,8.3,4.0,59.1,14.8,48.0,12.8,21.5,8.7,12.2,3.9,1.6,2.4,4.6,2.2,7.8,2.9,36.9,14.4,17,1,Below Average,1,Below Average,3,Above Average,2,Average,3,Above Average,2,Average,1,Below Average,1,Below Average,1,Below Average,2,Average,1,Below Average,1.7,0.8232726023485646,High
325,134,1774,346,Census Tract 39.02; District of Columbia; District of Columbia,11,001,003902,1774,217,125,346,1774,804,171,346,346,241,1774,780,328,346,1774,165,214,1774,346,306,343,132,170,1754,59,100,346,1765,101,129,346,1774,1016,166,354,139,11001003902,1774,1774,346,346,421.65981549111365,18.3,6.7,12.2,6.6,45.3,3.8,44.0,10.5,18.5,8.6,17.2,11.6,9.7,7.3,5.7,3.2,7.3,5.5,34.8,12.4,18,2,Average,2,Average,1,Below Average,1,Below Average,3,Above Average,2,Average,3,Above Average,1,Below Average,1,Below Average,2,Average,2,Average,1.8,0.7888106377466155,High
407,196,3971,502,Census Tract 40.01; District of Columbia; District of Columbia,11,001,004001,3971,499,116,502,3971,2134,383,502,502,497,3971,1217,416,502,3971,290,124,3971,502,365,496,50,40,3745,138,311,502,3971,241,387,502,3971,2409,417,821,275,11001004001,3971,3971,502,502,706.4085220324001,10.2,4.8,12.6,2.5,53.7,6.8,30.6,11.9,10.5,7.2,9.2,2.9,1.1,1.3,7.8,3.3,9.7,5.9,34.1,9.8,16,1,Below Average,2,Average,2,Average,1,Below Average,2,Average,2,Average,1,Below Average,2,Average,1,Below Average,2,Average,1,Below Average,1.6,0.5163977794943223,High
396,175,3291,557,Census Tract 40.02; District of Columbia; District of Columbia,11,001,004002,3291,445,318,557,3291,1595,396,557,557,462,3291,1117,510,557,3291,250,303,3291,557,887,538,108,130,3168,85,157,557,3291,105,197,533,3185,2095,398,1131,371,11001004002,3291,3291,557,557,723.6663595884502,12.0,4.9,13.5,9.4,48.5,8.8,33.9,12.8,15.5,7.1,27.0,8.0,4.1,3.3,4.8,2.5,6.2,3.1,54.0,14.4,20,1,Below Average,2,Average,2,Average,1,Below Average,3,Above Average,4,Well Above Average,2,Average,1,Below Average,1,Below Average,3,Above Average,2,Average,2.0,1.0540925533894598,Medium
300,210,2363,399,Census Tract 41; District of Columbia; District of Columbia,11,001,004100,2363,535,108,399,2363,1452,307,399,399,182,2363,680,382,399,2363,121,318,2363,399,471,325,254,246,2212,51,82,399,2363,344,401,399,2363,1417,144,572,133,11001004100,2363,2363,399,399,438.54874301495835,12.7,8.6,22.6,2.5,61.4,7.8,28.8,6.0,16.2,4.3,19.9,13.0,11.1,11.4,3.5,2.1,17.0,14.3,40.4,8.4,23,2,Average,3,Above Average,3,Above Average,1,Below Average,3,Above Average,3,Above Average,3,Above Average,1,Below Average,2,Average,2,Average,3,Above Average,2.3,0.8232726023485646,High
51,63,3224,506,Census Tract 42.01; District of Columbia; District of Columbia,11,001,004201,3224,178,119,506,3224,1711,311,506,506,520,3224,726,284,506,3224,134,118,3224,506,292,499,70,62,3192,182,177,506,3224,173,334,506,3224,1928,346,1205,344,11001004201,3224,3224,506,506,725.5590947676144,1.6,1.9,5.5,3.6,53.1,4.9,22.5,15.7,8.8,3.9,9.1,3.4,1.9,2.2,5.5,5.6,10.4,5.1,62.5,13.9,15,0,Well Below Average,1,Below Average,2,Average,1,Below Average,2,Average,2,Average,1,Below Average,1,Below Average,1,Below Average,4,Well Above Average,1,Below Average,1.5,1.0801234497346435,Medium
87,24,2613,409,Census Tract 42.02; District of Columbia; District of Columbia,11,001,004202,2613,240,97,409,2613,1310,175,409,409,199,2613,905,454,409,2613,248,132,2613,409,384,409,31,36,2535,73,133,409,2600,300,490,408,2554,1615,123,909,171,11001004202,2613,2613,409,409,454.84282999735194,3.3,0.8,9.2,3.4,50.1,10.3,34.6,5.3,17.4,9.1,14.7,4.5,1.4,1.2,5.1,2.7,19.2,11.3,56.3,9.7,18,1,Below Average,2,Average,2,Average,1,Below Average,3,Above Average,2,Average,1,Below Average,1,Below Average,2,Average,3,Above Average,2,Average,1.8,0.7888106377466155,High
403,311,4387,860,Census Tract 43; District of Columbia; District of Columbia,11,001,004300,4387,394,122,860,4387,2373,635,860,860,392,4387,1820,876,860,4387,463,442,4387,860,733,702,287,383,4180,171,259,877,4325,136,245,860,4387,2665,332,1600,277,11001004300,4387,4387,860,860,945.1264465668073,9.2,6.9,9.0,2.2,54.1,9.9,41.5,3.7,20.0,9.8,16.7,9.5,9.2,6.7,6.0,3.8,5.6,2.9,60.0,7.2,18,1,Below Average,1,Below Average,2,Average,1,Below Average,3,Above Average,2,Average,3,Above Average,1,Below Average,1,Below Average,3,Above Average,2,Average,1.8,0.9189365834726815,Medium
587,675,3388,981,Census Tract 44.01; District of Columbia; District of Columbia,11,001,004401,3388,144,78,981,3388,1265,428,981,981,233,3388,1323,255,981,3388,135,158,3388,981,466,697,38,31,3036,58,85,982,3367,95,201,981,3388,1869,228,761,211,11001004401,3388,3388,981,981,1008.290632704678,17.3,19.3,4.3,1.9,37.3,6.5,39.0,13.2,7.5,3.3,13.8,2.4,1.0,1.2,2.5,1.6,5.9,2.2,40.7,10.1,13,2,Average,1,Below Average,0,Well Below Average,1,Below Average,2,Average,2,Average,1,Below Average,1,Below Average,1,Below Average,2,Average,0,Well Below Average,1.3,0.6749485577105528,Medium
228,64,2503,447,Census Tract 44.02; District of Columbia; District of Columbia,11,001,004402,2503,202,51,447,2503,1214,359,447,447,208,2503,917,151,447,2503,111,112,2503,447,294,431,66,83,2346,144,202,440,2480,172,283,447,2496,1234,155,433,120,11001004402,2503,2503,447,447,493.0243401699352,9.1,2.0,8.1,1.4,48.5,11.4,36.6,5.1,6.0,4.3,11.7,4.0,3.5,2.7,8.1,5.6,11.3,6.6,35.1,8.7,15,1,Below Average,1,Below Average,2,Average,1,Below Average,1,Below Average,2,Average,2,Average,2,Average,1,Below Average,2,Average,1,Below Average,1.5,0.5270462766947299,High
512,232,3058,566,Census Tract 46; District of Columbia; District of Columbia,11,001,004600,3058,300,83,566,3058,1744,465,566,566,364,3058,1582,210,566,3058,178,93,3058,566,249,536,18,15,2916,87,260,567,3047,344,802,566,3058,1498,212,384,110,11001004600,3058,3058,566,566,672.94279103056,16.7,6.9,9.8,2.0,57.0,10.9,51.7,7.1,6.9,5.7,8.1,2.6,0.5,0.6,8.5,2.4,26.2,10.1,25.6,6.4,18,2,Average,2,Average,3,Above Average,2,Average,2,Average,1,Below Average,1,Below Average,2,Average,2,Average,1,Below Average,2,Average,1.8,0.6324555320336759,High
67,53,3476,706,Census Tract 47.02; District of Columbia; District of Columbia,11,001,004702,3476,240,69,706,3476,1900,427,706,706,754,3476,1154,460,706,3476,193,142,3476,706,504,706,46,59,3409,108,215,706,3313,122,446,706,3313,2264,379,1184,199,11001004702,3476,3476,706,706,1032.9336861580225,1.9,1.5,6.9,1.4,54.7,5.3,33.2,20.6,13.2,4.9,14.5,2.8,1.7,1.3,6.5,3.0,13.5,2.3,52.3,0.8,14,0,Well Below Average,1,Below Average,2,Average,1,Below Average,2,Average,2,Average,1,Below Average,1,Below Average,1,Below Average,3,Above Average,1,Below Average,1.4,0.8432740427115679,Medium
361,127,3400,629,Census Tract 47.03; District of Columbia; District of Columbia,11,001,004703,3400,195,98,629,3400,1932,392,629,629,289,3400,2212,254,629,3400,136,445,3400,629,843,638,432,482,3331,237,260,631,3390,544,1473,629,3400,1916,352,1165,326,11001004703,3400,3400,629,629,692.2152844310793,10.6,3.2,5.7,2.7,56.8,4.7,65.1,14.7,7.5,3.8,24.8,12.3,14.5,12.7,7.7,6.8,43.3,13.8,60.8,12.8,24,1,Below Average,1,Below Average,3,Above Average,2,Average,2,Average,3,Above Average,4,Well Above Average,1,Below Average,3,Above Average,4,Well Above Average,3,Above Average,2.4,1.1737877907772674,High
465,135,1580,373,Census Tract 47.04; District of Columbia; District of Columbia,11,001,004704,1580,187,121,373,1580,1198,268,373,373,75,1580,1476,46,373,1580,57,50,1580,373,28,286,61,51,1361,82,158,373,1565,332,1404,373,1580,728,142,517,119,11001004704,1580,1580,373,373,380.4655043496059,29.4,5.0,11.8,7.1,75.8,24.7,93.4,22.6,2.9,3.5,1.8,3.1,3.7,4.4,10.1,4.7,88.9,1.2,71.0,8.7,26,3,Above Average,2,Average,4,Well Above Average,3,Above Average,1,Below Average,1,Below Average,2,Average,2,Average,4,Well Above Average,4,Well Above Average,4,Well Above Average,2.6,1.1737877907772671,High
